data,category
" The problem was nearly always the issue of Sunday play as the Puritans considered cricket to be ""profane"" if played on the Sabbath, especially if large crowds or gambling were involved.",sports
"According to the social historian Derek Birley, there was a ""great upsurge of sport after the Restoration"" in 1660.",sports
" Gambling on sport became a problem significant enough for Parliament to pass the 1664 Gambling Act, limiting stakes to £100 which was, in any case, a colossal sum exceeding the annual income of 99% of the population.",sports
" Along with prizefighting, horse racing and blood sports, cricket was perceived to be a gambling sport.",sports
" Rich patrons made matches for high stakes, forming teams in which they engaged the first professional players.",sports
" By the end of the century, cricket had developed into a major sport that was spreading throughout England and was already being taken abroad by English mariners and colonisers – the earliest reference to cricket overseas is dated 1676.",sports
" A 1697 newspaper report survives of ""a great cricket match"" played in Sussex ""for fifty guineas apiece"" – this is the earliest known contest that is generally considered a First Class match.",sports
"The patrons, and other players from the social class known as the ""gentry"", began to classify themselves as ""amateurs"" to establish a clear distinction from the professionals, who were invariably members of the working class, even to the point of having separate changing and dining facilities.",sports
" The gentry, including such high-ranking nobles as the Dukes of Richmond, exerted their honour code of noblesse oblige to claim rights of leadership in any sporting contests they took part in, especially as it was necessary for them to play alongside their ""social inferiors"" if they were to win their bets.",sports
" In time, a perception took hold that the typical amateur who played in first-class cricket, until 1962 when amateurism was abolished, was someone with a public school education who had then gone to one of Cambridge or Oxford University – society insisted that such people were ""officers and gentlemen"" whose destiny was to provide leadership.",sports
" In a purely financial sense, the cricketing amateur would theoretically claim expenses for playing while his professional counterpart played under contract and was paid a wage or match fee; in practice, many amateurs claimed more than actual expenditure and the derisive term ""shamateur"" was coined to describe the practice.",sports
The game underwent major development in the 18th century to become England's national sport.,sports
 Its success was underwritten by the twin necessities of patronage and betting.,sports
" Cricket was prominent in London as early as 1707 and, in the middle years of the century, large crowds flocked to matches on the Artillery Ground in Finsbury.",sports
" The single wicket form of the sport attracted huge crowds and wagers to match, its popularity peaking in the 1748 season.",sports
 Bowling underwent an evolution around 1760 when bowlers began to pitch the ball instead of rolling or skimming it towards the batsman.,sports
" This caused a revolution in bat design because, to deal with the bouncing ball, it was necessary to introduce the modern straight bat in place of the old ""hockey stick"" shape.",sports
"The Hambledon Club was founded in the 1760s and, for the next twenty years until the formation of Marylebone Cricket Club (MCC) and the opening of Lord's Old Ground in 1787, Hambledon was both the game's greatest club and its focal point.",sports
 MCC quickly became the sport's premier club and the custodian of the Laws of Cricket.,sports
 New Laws introduced in the latter part of the 18th century included the three stump wicket and leg before wicket (lbw).,sports
The 19th century saw underarm bowling superseded by first roundarm and then overarm bowling.,sports
" Organisation of the game at county level led to the creation of the county clubs, starting with Sussex in 1839.",sports
" In December 1889, the eight leading county clubs formed the official County Championship, which began in 1890.",sports
" Grace, who started his long and influential career in 1865.",sports
" It was especially during the career of Grace that the distinction between amateurs and professionals became blurred by the existence of players like him who were nominally amateur but, in terms of their financial gain, de facto professional.",sports
 Grace himself was said to have been paid more money for playing cricket than any professional.,sports
"The last two decades before the First World War have been called the ""Golden Age of cricket"".",sports
" It is a nostalgic name prompted by the collective sense of loss resulting from the war, but the period did produce some great players and memorable matches, especially as organised competition at county and Test level developed.",sports
"Meanwhile, the British Empire had been instrumental in spreading the game overseas and by the middle of the 19th century it had become well established in Australia, the Caribbean, India, New Zealand, North America and South Africa.",sports
" In 1844, the first-ever international match took place between the United States and Canada.",sports
" In 1859, a team of English players went to North America on the first overseas tour.",sports
 The first Australian team to travel overseas consisted of Aboriginal stockmen who toured England in 1868.,sports
"In 1876–77, an England team took part in what was retrospectively recognised as the first-ever Test match at the Melbourne Cricket Ground against Australia.",sports
" The rivalry between England and Australia gave birth to The Ashes in 1882, and this has remained Test cricket's most famous contest.",sports
 Test cricket began to expand in 1888–89 when South Africa played England.,sports
"The inter-war years were dominated by Australia's Don Bradman, statistically the greatest Test batsman of all time.",sports
" Test cricket continued to expand during the 20th century with the addition of the West Indies (1928), New Zealand (1930) and India (1932) before the Second World War and then Pakistan (1952), Sri Lanka (1982), Zimbabwe (1992), Bangladesh (2000), Ireland and Afghanistan (both 2018) in the post-war period.",sports
 South Africa was banned from international cricket from 1970 to 1992 as part of the apartheid boycott.,sports
Cricket entered a new era in 1963 when English counties introduced the limited overs variant.,sports
" As it was sure to produce a result, limited overs cricket was lucrative and the number of matches increased.",sports
" The first Limited Overs International was played in 1971 and the governing International Cricket Council (ICC), seeing its potential, staged the first limited overs Cricket World Cup in 1975.",sports
" In the 21st century, a new limited overs form, Twenty20, made an immediate impact.",sports
" On 22 June 2017, Afghanistan and Ireland became the 11th and 12th ICC full members, enabling them to play Test cricket.",sports
"In cricket, the rules of the game are specified in a code called The Laws of Cricket (hereinafter called ""the Laws"") which has a global remit.",sports
" The earliest known version of the code was drafted in 1744 and, since 1788, it has been owned and maintained by its custodian, the Marylebone Cricket Club (MCC) in London.",sports
"Cricket is a bat-and-ball game played on a cricket field (see image, right) between two teams of eleven players each.",sports
" The field is usually circular or oval in shape and the edge of the playing area is marked by a boundary, which may be a fence, part of the stands, a rope, a painted line or a combination of these; the boundary must if possible be marked along its entire length.",sports
"In the approximate centre of the field is a rectangular pitch (see image, below) on which a wooden target called a wicket is sited at each end; the wickets are placed 22 yards (20 m) apart.",sports
"0 m) wide, with very short grass that tends to be worn away as the game progresses (cricket can also be played on artificial surfaces, notably matting).",sports
 Each wicket is made of three wooden stumps topped by two bails.,sports
"As illustrated above, the pitch is marked at each end with four white painted lines: a bowling crease, a popping crease and two return creases.",sports
" The three stumps are aligned centrally on the bowling crease, which is eight feet eight inches long.",sports
" The popping crease is drawn four feet in front of the bowling crease and parallel to it; although it is drawn as a twelve-foot line (six feet either side of the wicket), it is, in fact, unlimited in length.",sports
" The return creases are drawn at right angles to the popping crease so that they intersect the ends of the bowling crease; each return crease is drawn as an eight-foot line, so that it extends four feet behind the bowling crease, but is also, in fact, unlimited in length.",sports
"Before a match begins, the team captains (who are also players) toss a coin to decide which team will bat first and so take the first innings.",sports
 Innings is the term used for each phase of play in the match.,sports
" In each innings, one team bats, attempting to score runs, while the other team bowls and fields the ball, attempting to restrict the scoring and dismiss the batsmen.",sports
" When the first innings ends, the teams change roles; there can be two to four innings depending upon the type of match.",sports
 A match with four scheduled innings is played over three to five days; a match with two scheduled innings is usually completed in a single day.,sports
" During an innings, all eleven members of the fielding team take the field, but usually only two members of the batting team are on the field at any given time.",sports
" The exception to this is if a batsman has any type of illness or injury restricting his or her ability to run, in this case the batsman is allowed a runner who can run between the wickets when the batsman hits a scoring run or runs, though this does not apply in international cricket.",sports
" The order of batsmen is usually announced just before the match, but it can be varied.",sports
"The main objective of each team is to score more runs than their opponents but, in some forms of cricket, it is also necessary to dismiss all of the opposition batsmen in their final innings in order to win the match, which would otherwise be drawn.",sports
" If the team batting last is all out having scored fewer runs than their opponents, they are said to have ""lost by n runs"" (where n is the difference between the aggregate number of runs scored by the teams).",sports
" If the team that bats last scores enough runs to win, it is said to have ""won by n wickets"", where n is the number of wickets left to fall.",sports
" For example, a team that passes its opponents' total having lost six wickets (i.",sports
", six of their batsmen have been dismissed) have won the match ""by four wickets"".",sports
"In a two-innings-a-side match, one team's combined first and second innings total may be less than the other side's first innings total.",sports
" The team with the greater score is then said to have ""won by an innings and n runs"", and does not need to bat again: n is the difference between the two teams' aggregate scores.",sports
